,username,tweet,date_posted,expanded_tweet,highway,streets,exits,directions,locs,lanes,relocs,town
284,NJDOT_info,"Route 24, both direction, ramp to Exit 9A - Broad St/Millburn/Summit, Summit, ramp closed due to ongoing clean up of overturned tractor trailer fuel spill. Route 124 also closed in both directions at CR 512, Millburn Twp, for same. Use caution and consider alternate route.",2019-11-04 11:44:33+00:00,"Route 24, both direction, ramp to Exit 9A - Broad St/Millburn/Summit, Summit, ramp closed due to ongoing clean up of overturned tractor trailer fuel spill. Route 124 also closed in both directions at Country Route 512, Millburn Township , for same. Use caution and consider alternate route.",Route 24,Country Route 512,Exit 9A - Broad St/Millburn/Summit,,,,,"Summit, Millburn Township"
285,511nj24,Fuel spill and Overturned tractor trailer on NJ 24 both directions ramp to Exit 9A - Broad St/Millburn/Summit (Summit) ramp closed https://511nj.org/event/ORI214784901?552 …,2019-11-04 11:43:56+00:00,Fuel spill and Overturned tractor trailer on NJ 24 both directions ramp to Exit 9A - Broad St/Millburn/Summit (Summit) ramp closed https://511nj.org/event/ORI214784901?552 …,NJ 24,,Exit 9A - Broad St/Millburn/Summit,both directions,,,,Summit
286,511njbt,"Construction, construction on Holland Tunnel eastbound at New Jersey Side - Toll Plaza (Jersey City) 1 toll lane closed round the clock until further notice. https://511nj.org/event/ORI214268207?676 …",2019-11-04 11:02:57+00:00,"Construction, construction on Holland Tunnel eastbound at New Jersey Side - Toll Plaza (Jersey City) 1 toll lane closed round the clock until further notice. https://511nj.org/event/ORI214268207?676 …",Holland Tunnel,New Jersey Side - Toll Plaza,,eastbound,,1 toll lane,,Jersey City
287,511njgsp,"Roadwork, roadwork on Garden State Parkway northbound South of Exit 25 - CR 623/Roosevelt Blvd (Upper Twp) to North of Exit 29 - US 9 (Somers Point) right lane closed for repairs until 3:00 P.M. https://511nj.org/event/ORI214784801?834 …",2019-11-04 09:26:56+00:00,"Roadwork, roadwork on Garden State Parkway northbound South of Exit 25 - Country Route 623/Roosevelt Blvd (Upper Township ) to North of Exit 29 - US-9 (Somers Point) right lane closed for repairs until 3:00 P.M. https://511nj.org/event/ORI214784801?834 …",Garden State Parkway,,"Exit 25 - Country Route 623/Roosevelt Blvd, Exit 29 - US-9",northbound,,right lane,South of,"Upper Township, Somers Point"
288,511njgsp,"Roadwork, roadwork on Garden State Parkway northbound South of Exit 25 - CR 623/Roosevelt Blvd (Upper Twp) to North of Exit 29 - US 9 (Somers Point) right lane closed for repairs until 3:00 P.M. https://511nj.org/event/ORI214784801?379 …",2019-11-04 09:24:56+00:00,"Roadwork, roadwork on Garden State Parkway northbound South of Exit 25 - Country Route 623/Roosevelt Blvd (Upper Township ) to North of Exit 29 - US-9 (Somers Point) right lane closed for repairs until 3:00 P.M. https://511nj.org/event/ORI214784801?379 …",Garden State Parkway,,"Exit 25 - Country Route 623/Roosevelt Blvd, Exit 29 - US-9",northbound,,right lane,South of,"Upper Township, Somers Point"
289,511nj24,Fuel spill and Overturned tractor trailer on NJ 24 both directions ramp to Exit 9A - Broad St/Millburn/Summit (Summit) ramp closed https://511nj.org/event/ORI214784901?980 …,2019-11-04 09:19:56+00:00,Fuel spill and Overturned tractor trailer on NJ 24 both directions ramp to Exit 9A - Broad St/Millburn/Summit (Summit) ramp closed https://511nj.org/event/ORI214784901?980 …,NJ 24,,Exit 9A - Broad St/Millburn/Summit,both directions,,,,Summit
290,511njgsp,"Long term road construction, Garden State Parkway at Forked River Service Area (Lacey Twp) Service Area is closed - No Services Available until further notice - Northbound motorists use Atlantic City Service Area and Southbound motori https://511nj.org/event/ORI210541901?625 …",2019-11-04 09:18:56+00:00,"Long term road construction, Garden State Parkway at Forked River Service Area (Lacey Township ) Service Area is closed - No Services Available until further notice - Northbound motorists use Atlantic City Service Area and Southbound motori https://511nj.org/event/ORI210541901?625 …",Garden State Parkway,Forked River Service Area,Area is closed - No Services Available,Southbound,,,motori,"Lacey Township, Atlantic City Service Area"
291,511njtpk,"Long term road construction, New Jersey Turnpike southbound Richard Stockton Service Area (Hamilton Twp) will be closed until futher notice. No services will be available during renovation https://511nj.org/event/ORI210448901?447 …",2019-11-04 09:17:56+00:00,"Long term road construction, New Jersey Turnpike southbound Richard Stockton Service Area (Hamilton Township ) will be closed until futher notice. No services will be available during renovation https://511nj.org/event/ORI210448901?447 …",New Jersey Turnpike,,,,,will be,"Richard, Stockton Service Area (",Hamilton Township
292,511nji295,"Long term road construction, New Jersey Turnpike southbound Richard Stockton Service Area (Hamilton Twp) will be closed until futher notice. No services will be available during renovation https://511nj.org/event/ORI210448901?447 …",2019-11-04 09:17:56+00:00,"Long term road construction, New Jersey Turnpike southbound Richard Stockton Service Area (Hamilton Township ) will be closed until futher notice. No services will be available during renovation https://511nj.org/event/ORI210448901?447 …",New Jersey Turnpike,,,,,will be,"Richard, Stockton Service Area (",Hamilton Township
293,511njtpk,"Long term road construction, New Jersey Turnpike Vince Lombardi Service Area (Ridgefield) The service area does not close. It will continue to offer truck parking, restrooms, limited food trucks and vending machines. The Carpool Lot https://511nj.org/event/ORI210388701?20 …",2019-11-04 09:15:56+00:00,"Long term road construction, New Jersey Turnpike Vince Lombardi Service Area (Ridgefield) The service area does not close. It will continue to offer truck parking, restrooms, limited food trucks and vending machines. The Carpool Lot https://511nj.org/event/ORI210388701?20 …",New Jersey Turnpike Vince Lombardi Service Area,,,,,,,Ridgefield
294,511nj24,Overturned tractor trailer on NJ 24 both directions ramp to Exit 9A - Broad St/Millburn/Summit (Summit) ramp closed https://511nj.org/event/ORI214784901?709 …,2019-11-04 09:15:56+00:00,Overturned tractor trailer on NJ 24 both directions ramp to Exit 9A - Broad St/Millburn/Summit (Summit) ramp closed https://511nj.org/event/ORI214784901?709 …,NJ 24,,Exit 9A - Broad St/Millburn/Summit,both directions,,,,Summit
295,511nji295,"Construction, construction on NJ 29 both directions from West Upper Ferry Rd (Ewing Twp) to NJ 175/Scenic Dr (Ewing Twp) 1 lane closed until 11:59 P.M. on November 30, 2019 https://511nj.org/event/ORI212614201?146 …",2019-11-04 09:02:57+00:00,"Construction, construction on NJ 29 both directions from West Upper Ferry Road (Ewing Township ) to NJ 175/Scenic Dr (Ewing Township ) 1 lane closed until 11:59 P.M. on November 30, 2019 https://511nj.org/event/ORI212614201?146 …","NJ 29, NJ 175/Scenic Dr",West Upper Ferry Road,,both directions,,1 lane,from,Ewing Township
296,511nji295,"Construction, construction on NJ 175 northbound ramp to southbound I-295 (Ewing Twp) exit ramp closed and detoured until 11:59 P.M. on July 29, 2020 https://511nj.org/event/ORI207356301?178 …",2019-11-04 09:02:56+00:00,"Construction, construction on NJ 175 northbound ramp to southbound Interstate 295 (Ewing Township ) exit ramp closed and detoured until 11:59 P.M. on July 29, 2020 https://511nj.org/event/ORI207356301?178 …",NJ 175,southbound Interstate 295,,northbound,,"ramp, exit ramp",,Ewing Township
297,511nji676,"Construction, construction on I-676 both directions South of Exit 5 - CR 537 (Camden) to Exit 5 - CR 537 (Camden) right shoulder closed until 11:59 P.M. on December 31, 2019 https://511nj.org/event/ORI212947001?279 …",2019-11-04 09:01:57+00:00,"Construction, construction on Interstate 676 both directions South of Exit 5 - Country Route 537 (Camden) to Exit 5 - Country Route 537 (Camden) right shoulder closed until 11:59 P.M. on December 31, 2019 https://511nj.org/event/ORI212947001?279 …",Interstate 676,,"Exit 5 - Country Route 537, Exit 5 - Country Route 537",both directions,,right shoulder,South of,"Camden, Camden"
298,511nji195,"Construction, construction on I-195 westbound at Exit 16 - CR 537/Great Adventure (Jackson Twp) right shoulder closed until 11:59 P.M. on November 15, 2019 https://511nj.org/event/ORI213338801?18 …",2019-11-04 09:01:56+00:00,"Construction, construction on Interstate 195 westbound at Exit 16 - Country Route 537/Great Adventure (Jackson Township ) right shoulder closed until 11:59 P.M. on November 15, 2019 https://511nj.org/event/ORI213338801?18 …",Interstate 195,,Exit 16 - Country Route 537/Great Adventure,westbound,,right shoulder,,Jackson Township
299,511nj24,Overturned tractor trailer on NJ 24 westbound Exit 9A - Broad St/Millburn/Summit (Summit) ramp closed https://511nj.org/event/ORI214784901?207 …,2019-11-04 08:34:56+00:00,Overturned tractor trailer on NJ 24 westbound Exit 9A - Broad St/Millburn/Summit (Summit) ramp closed https://511nj.org/event/ORI214784901?207 …,NJ 24,,Exit 9A - Broad St/Millburn/Summit,westbound,,,,Summit
300,511njgsp,Roadwork on Garden State Parkway northbound South of Exit 25 - CR 623/Roosevelt Blvd (Upper Twp) to North of Exit 29 - US 9 (Somers Point) right lane closed for repairs until 3:00 P.M. https://511nj.org/event/ORI214784801?590 …,2019-11-04 08:22:57+00:00,Roadwork on Garden State Parkway northbound South of Exit 25 - Country Route 623/Roosevelt Blvd (Upper Township ) to North of Exit 29 - US-9 (Somers Point) right lane closed for repairs until 3:00 P.M. https://511nj.org/event/ORI214784801?590 …,Garden State Parkway,,"Exit 25 - Country Route 623/Roosevelt Blvd, Exit 29 - US-9",northbound,,right lane,South of,"Upper Township, Somers Point"
301,511nji295,"Construction, construction on NJ 29 both directions from West Upper Ferry Rd (Ewing Twp) to NJ 175/Scenic Dr (Ewing Twp) 1 lane closed until 11:59 P.M. on November 30, 2019 https://511nj.org/event/ORI212614201?782 …",2019-11-04 06:20:56+00:00,"Construction, construction on NJ 29 both directions from West Upper Ferry Road (Ewing Township ) to NJ 175/Scenic Dr (Ewing Township ) 1 lane closed until 11:59 P.M. on November 30, 2019 https://511nj.org/event/ORI212614201?782 …","NJ 29, NJ 175/Scenic Dr",West Upper Ferry Road,,both directions,,1 lane,from,Ewing Township
302,511njace,"Construction, construction on Atlantic City Expressway eastbound from East of Atlantic City Welcome Center (Pleasantville) to East of Exit 2 - US 322 (Atlantic City) right lane and shoulder closed until further notice MOVE O https://511nj.org/event/ORI213156301?776 …",2019-11-04 04:57:56+00:00,"Construction, construction on Atlantic City Expressway eastbound from East of Atlantic City Welcome Center (Pleasantville) to East of Exit 2 - US-322 (Atlantic City) right lane and shoulder closed until further notice MOVE O https://511nj.org/event/ORI213156301?776 …",Atlantic City Expressway,Atlantic City Welcome Center,Exit 2 - US-322,eastbound,,right lane,from East of,"Pleasantville, Atlantic City"
303,511njace,"Construction, construction on Atlantic City Expressway westbound East of Exit 38 - CR 536 (Winslow Twp) right lane and shoulder closed from 7:00 P.M. until 12:00 A.M. MOVE OVER FOR HIGHWAY WORKERS https://511nj.org/event/ORI214776401?533 …",2019-11-04 04:56:57+00:00,"Construction, construction on Atlantic City Expressway westbound East of Exit 38 - Country Route 536 (Winslow Township ) right lane and shoulder closed from 7:00 P.M. until 12:00 A.M. MOVE OVER FOR HIGHWAY WORKERS https://511nj.org/event/ORI214776401?533 …",Atlantic City Expressway,,Exit 38 - Country Route 536,westbound,,right lane,East of,Winslow Township
304,511njace,"Construction, construction on Atlantic City Expressway eastbound West of Exit 33 - Winslow (Winslow Twp) to East of Exit 33 - Winslow (Winslow Twp) right lane and shoulder closed until 12:00 A.M. MOVE OVER FOR HIGHWAY WORKER https://511nj.org/event/ORI214776501?616 …",2019-11-04 04:56:56+00:00,"Construction, construction on Atlantic City Expressway eastbound West of Exit 33 - Winslow (Winslow Township ) to East of Exit 33 - Winslow (Winslow Township ) right lane and shoulder closed until 12:00 A.M. MOVE OVER FOR HIGHWAY WORKER https://511nj.org/event/ORI214776501?616 …",Atlantic City Expressway,,"Exit 33 - Winslow, Exit 33 - Winslow",eastbound,,right lane,"West of, East of","Winslow Township, Winslow Township"
305,511njbt,"Construction, tunnel repairs on Lincoln Tunnel westbound New York Side - North Tube (Manhattan) to New Jersey Side - North Tube (Weehawken Twp) all lanes closed and detoured until 5:00 A.M. https://511nj.org/event/ORI214784307?589 …",2019-11-04 04:31:56+00:00,"Construction, tunnel repairs on Lincoln Tunnel westbound New York Side - North Tube (Manhattan) to New Jersey Side - North Tube (Weehawken Township ) all lanes closed and detoured until 5:00 A.M. https://511nj.org/event/ORI214784307?589 …",Lincoln Tunnel,,York Side - North Tube,westbound,,all lanes,New,Manhattan
306,511njbt,"Construction, tunnel repairs on Holland Tunnel eastbound New Jersey Side - South Tube (Jersey City) to New York Side - South Tube (Manhattan) 1 lane closed until 5:00 A.M. https://511nj.org/event/ORI214784107?208 …",2019-11-04 04:28:56+00:00,"Construction, tunnel repairs on Holland Tunnel eastbound New Jersey Side - South Tube (Jersey City) to New York Side - South Tube (Manhattan) 1 lane closed until 5:00 A.M. https://511nj.org/event/ORI214784107?208 …",Holland Tunnel,"South Tube, South Tube",,eastbound,,1 lane,"New Jersey, -, -","Jersey City, New York, Manhattan"
307,511njtpk,"Roadwork, roadwork on New Jersey Turnpike - Western Spur southbound between North of Interchange 15W - I-280 (Kearny) and North of Interchange 15E - US 1&9 (Newark) left and center lanes closed until 6AM Monday 11/4/19. https://511nj.org/event/ORI214708601?132 …",2019-11-04 03:27:56+00:00,"Roadwork, roadwork on New Jersey Turnpike - Western Spur southbound between North of Interchange 15W - Interstate 280 (Kearny) and North of Interchange 15E - US-1&9 (Newark) left and center lanes closed until 6AM Monday 11/4/19. https://511nj.org/event/ORI214708601?132 …","New Jersey Turnpike - Western Spur, Interchange 15W - Interstate 280, Interchange 15E - US-1&9",,,southbound,,left and,between North of,"Kearny, Newark"
308,511njtpk,"Construction, construction on New Jersey Turnpike - Western Spur southbound Northern Mixing Bowl (Ridgefield) to Interchange 15W - I-280 (Kearny) all lanes closed for repairs from 10:00 P.M. until 6:00 A.M. https://511nj.org/event/ORI214780601?483 …",2019-11-04 03:07:56+00:00,"Construction, construction on New Jersey Turnpike - Western Spur southbound Northern Mixing Bowl (Ridgefield) to Interchange 15W - Interstate 280 (Kearny) all lanes closed for repairs from 10:00 P.M. until 6:00 A.M. https://511nj.org/event/ORI214780601?483 …","New Jersey Turnpike - Western Spur, Interchange 15W - Interstate 280",Mixing Bowl,,southbound,,all lanes,Northern,"Ridgefield, Kearny"
309,511nji295,"Construction, construction on NJ 175 both directions between West Upper Ferry Rd (Ewing Twp) and NJ 29 (Ewing Twp) all lanes closed and detoured until 6:00 A.M. follow detour https://511nj.org/event/ORI214782401?749 …",2019-11-04 03:01:56+00:00,"Construction, construction on NJ 175 both directions between West Upper Ferry Road (Ewing Township ) and NJ 29 (Ewing Township ) all lanes closed and detoured until 6:00 A.M. follow detour https://511nj.org/event/ORI214782401?749 …","NJ 175, NJ 29",West Upper Ferry Road,,both directions,,all lanes,between,"Ewing Township, Ewing Township"
310,511nji295,"Construction, construction on I-295 northbound ramp to southbound Exit 76 - NJ 29 (Ewing Twp) exit ramp closed and detoured until 6:00 A.M. follow detour https://511nj.org/event/ORI214782301?760 …",2019-11-04 03:01:56+00:00,"Construction, construction on Interstate 295 northbound ramp to southbound Exit 76 - NJ 29 (Ewing Township ) exit ramp closed and detoured until 6:00 A.M. follow detour https://511nj.org/event/ORI214782301?760 …",Interstate 295,,southbound Exit 76 - NJ 29,northbound,,"ramp, exit ramp",,Ewing Township
311,511njtpk,"Construction, construction on New Jersey Turnpike - Western Spur southbound outside entry Interchange 16W - NJ 3 (East Rutherford) ramp from rt3 east closed until 6:00 A.M. https://511nj.org/event/ORI214782101?980 …",2019-11-04 02:26:56+00:00,"Construction, construction on New Jersey Turnpike - Western Spur southbound outside entry Interchange 16W - NJ 3 (East Rutherford) ramp from rt3 east closed until 6:00 A.M. https://511nj.org/event/ORI214782101?980 …","New Jersey Turnpike - Western Spur, Interchange 16W - NJ 3",,,southbound,,outside,,East Rutherford
312,511njtpk,"Construction, construction on New Jersey Turnpike - Western Spur southbound outside entry Interchange 16W - NJ 3 (East Rutherford) ramp from rt 3 west closed until 6:00 A.M. https://511nj.org/event/ORI214782001?229 …",2019-11-04 02:23:56+00:00,"Construction, construction on New Jersey Turnpike - Western Spur southbound outside entry Interchange 16W - NJ 3 (East Rutherford) ramp from rt 3 west closed until 6:00 A.M. https://511nj.org/event/ORI214782001?229 …","New Jersey Turnpike - Western Spur, Interchange 16W - NJ 3",,,southbound,,outside,,East Rutherford
313,511njtpk,Construction on New Jersey Turnpike - Western Spur southbound from Vince Lombardi Service Area (Ridgefield) ramp closed for repairs until 6:00 A.M. https://511nj.org/event/ORI214780801?40 …,2019-11-04 01:42:56+00:00,Construction on New Jersey Turnpike - Western Spur southbound from Vince Lombardi Service Area (Ridgefield) ramp closed for repairs until 6:00 A.M. https://511nj.org/event/ORI214780801?40 …,"New Jersey Turnpike - Western Spur, Vince Lombardi Service Area",,,southbound,,,from,Ridgefield
314,511njtpk,Construction on New Jersey Turnpike - Western Spur southbound Northern Mixing Bowl (Ridgefield) to Interchange 15W - I-280 (Kearny) all lanes closed for repairs from 9:00 P.M. until 6:00 A.M. https://511nj.org/event/ORI214780601?148 …,2019-11-04 01:39:56+00:00,Construction on New Jersey Turnpike - Western Spur southbound Northern Mixing Bowl (Ridgefield) to Interchange 15W - Interstate 280 (Kearny) all lanes closed for repairs from 9:00 P.M. until 6:00 A.M. https://511nj.org/event/ORI214780601?148 …,"New Jersey Turnpike - Western Spur, Interchange 15W - Interstate 280",Mixing Bowl,,southbound,,all lanes,Northern,"Ridgefield, Kearny"
315,511nj24,"Construction, construction on NJ 24 both directions between I-287 (Hanover Twp) and I-78 (Springfield Twp) 1 to 2 lanes closed for repairs until 6:00 A.M. https://511nj.org/event/ORI214776801?373 …",2019-11-04 01:01:56+00:00,"Construction, construction on NJ 24 both directions between Interstate 287 (Hanover Township ) and Interstate 78 (Springfield Township ) 1 to 2 lanes closed for repairs until 6:00 A.M. https://511nj.org/event/ORI214776801?373 …","NJ 24, Interstate 287, Interstate 78",,,both directions,,1 to 2 lanes,between,"Hanover Township, Springfield Township"
316,511njace,"Construction, bridge painting on Atlantic City Expressway westbound East of Exit 38 - CR 536 (Winslow Twp) right lane and shoulder closed from 7:00 P.M. until 12:00 A.M. MOVE OVER FOR HIGHWAY WORKERS https://511nj.org/event/ORI214776401?230 …",2019-11-04 00:17:57+00:00,"Construction, bridge painting on Atlantic City Expressway westbound East of Exit 38 - Country Route 536 (Winslow Township ) right lane and shoulder closed from 7:00 P.M. until 12:00 A.M. MOVE OVER FOR HIGHWAY WORKERS https://511nj.org/event/ORI214776401?230 …",Atlantic City Expressway,,Exit 38 - Country Route 536,westbound,,right lane,East of,Winslow Township
317,511njace,"Construction, bridge painting on Atlantic City Expressway eastbound West of Exit 33 - Winslow (Winslow Twp) to East of Exit 33 - Winslow (Winslow Twp) left lane and shoulder closed until 12:00 A.M. MOVE OVER FOR HIGHWAY WORK https://511nj.org/event/ORI214776501?440 …",2019-11-04 00:03:56+00:00,"Construction, bridge painting on Atlantic City Expressway eastbound West of Exit 33 - Winslow (Winslow Township ) to East of Exit 33 - Winslow (Winslow Township ) left lane and shoulder closed until 12:00 A.M. MOVE OVER FOR HIGHWAY WORK https://511nj.org/event/ORI214776501?440 …",Atlantic City Expressway,,"Exit 33 - Winslow, Exit 33 - Winslow",eastbound,,left lane,"West of, East of","Winslow Township, Winslow Township"
318,511njace,"Construction, bridge painting on Atlantic City Expressway eastbound West of Exit 33 - Winslow (Winslow Twp) to East of Exit 33 - Winslow (Winslow Twp) left lane and shoulder closed until 12:00 A.M. https://511nj.org/event/ORI214776501?952 …",2019-11-04 00:02:56+00:00,"Construction, bridge painting on Atlantic City Expressway eastbound West of Exit 33 - Winslow (Winslow Township ) to East of Exit 33 - Winslow (Winslow Township ) left lane and shoulder closed until 12:00 A.M. https://511nj.org/event/ORI214776501?952 …",Atlantic City Expressway,,"Exit 33 - Winslow, Exit 33 - Winslow",eastbound,,left lane,"West of, East of","Winslow Township, Winslow Township"
319,511njace,"Construction, construction on Atlantic City Expressway eastbound from East of Atlantic City Welcome Center (Pleasantville) to East of Exit 2 - US 322 (Atlantic City) right lane and shoulder closed until further notice MOVE O https://511nj.org/event/ORI213156301?371 …",2019-11-03 23:58:57+00:00,"Construction, construction on Atlantic City Expressway eastbound from East of Atlantic City Welcome Center (Pleasantville) to East of Exit 2 - US-322 (Atlantic City) right lane and shoulder closed until further notice MOVE O https://511nj.org/event/ORI213156301?371 …",Atlantic City Expressway,Atlantic City Welcome Center,Exit 2 - US-322,eastbound,,right lane,from East of,"Pleasantville, Atlantic City"
320,511njace,"Construction, bridge painting on Atlantic City Expressway westbound East of Exit 38 - CR 536 (Winslow Twp) right lane and shoulder closed from 7:00 P.M. until 12:00 A.M. https://511nj.org/event/ORI214776401?376 …",2019-11-03 23:57:56+00:00,"Construction, bridge painting on Atlantic City Expressway westbound East of Exit 38 - Country Route 536 (Winslow Township ) right lane and shoulder closed from 7:00 P.M. until 12:00 A.M. https://511nj.org/event/ORI214776401?376 …",Atlantic City Expressway,,Exit 38 - Country Route 536,westbound,,right lane,East of,Winslow Township
321,511nji295,"Construction, construction on I-295 northbound from Exit 73 - Scotch Rd (Hopewell Twp) to Delaware River/Scudder Falls Bridge (Ewing Twp) 1 lane closed until 6:00 A.M. use caution https://511nj.org/event/ORI214775501?321 …",2019-11-03 23:01:56+00:00,"Construction, construction on Interstate 295 northbound from Exit 73 - Scotch Road (Hopewell Township ) to Delaware River/Scudder Falls Bridge (Ewing Township ) 1 lane closed until 6:00 A.M. use caution https://511nj.org/event/ORI214775501?321 …",Interstate 295,Delaware River/Scudder Falls Bridge,Exit 73 - Scotch Road,northbound,,1 lane,from,"Hopewell Township, Ewing Township"
322,511nj24,Crash on NJ 24 eastbound area of Exit 9B - Millburn/Springfield (Summit) 1 lane closed 5-10 minute delay https://511nj.org/event/ORI214775401?711 …,2019-11-03 22:58:56+00:00,Crash on NJ 24 eastbound area of Exit 9B - Millburn/Springfield (Summit) 1 lane closed 5-10 minute delay https://511nj.org/event/ORI214775401?711 …,NJ 24,,Exit 9B - Millburn/Springfield,eastbound,,1 lane,area of,Summit
323,511nj24,Crash on NJ 24 eastbound area of Exit 9B - Millburn/Springfield (Summit) 1 lane closed 5-10 minute delay https://511nj.org/event/ORI214775401?77 …,2019-11-03 22:58:56+00:00,Crash on NJ 24 eastbound area of Exit 9B - Millburn/Springfield (Summit) 1 lane closed 5-10 minute delay https://511nj.org/event/ORI214775401?77 …,NJ 24,,Exit 9B - Millburn/Springfield,eastbound,,1 lane,area of,Summit
324,511nj495,"Construction, construction on NJ 495 westbound ramp to southbound US 1&9 (North Bergen Twp) right lane and exit ramp closed until further notice https://511nj.org/event/ORI184602901?772 …",2019-11-03 22:10:56+00:00,"Construction, construction on NJ 495 westbound ramp to southbound US-1&9 (North Bergen Township ) right lane and exit ramp closed until further notice https://511nj.org/event/ORI184602901?772 …",NJ 495,,southbound US-1&9,westbound,,"ramp, right lane",,North Bergen Township
325,511nji287,Crash on I-287 southbound South of Exit 14 - US 22 (Bridgewater Twp) left lane closed 5 minute delay https://511nj.org/event/ORI214770801?554 …,2019-11-03 21:33:57+00:00,Crash on Interstate 287 southbound South of Exit 14 - US-22 (Bridgewater Township ) left lane closed 5 minute delay https://511nj.org/event/ORI214770801?554 …,Interstate 287,,Exit 14 - US-22,southbound,,left lane,South of,Bridgewater Township
326,511nji280,Vehicle fire on I-280 westbound East of Exit 7 - Pleasant Valley Way/CR 636 (West Orange Twp) right lane closed https://511nj.org/event/ORI214765301?87 …,2019-11-03 16:17:56+00:00,Vehicle fire on Interstate 280 westbound East of Exit 7 - Pleasant Valley Way/Country Route 636 (West Orange Township ) right lane closed https://511nj.org/event/ORI214765301?87 …,Interstate 280,,Exit 7 - Pleasant Valley Way/Country Route 636,westbound,,right lane,East of,West Orange Township
327,511nji280,Vehicle fire on I-280 westbound East of Exit 7 - Pleasant Valley Way/CR 636 (West Orange Twp) right and center lanes closed https://511nj.org/event/ORI214765301?134 …,2019-11-03 16:12:56+00:00,Vehicle fire on Interstate 280 westbound East of Exit 7 - Pleasant Valley Way/Country Route 636 (West Orange Township ) right and center lanes closed https://511nj.org/event/ORI214765301?134 …,Interstate 280,,Exit 7 - Pleasant Valley Way/Country Route 636,westbound,,right and,East of,West Orange Township
328,NJDOT_info,Rt 1&9 all local & express lanes in both directions to be closed and detoured at McClellan St in Newark TODAY Sunday Nov. 3 from 3 PM thru 5 PM for emergency repairs to replace damaged electrical lines and transformers. Follow detour or plan alternate route,2019-11-03 16:05:00+00:00,Route 1&9 all local & express lanes in both directions to be closed and detoured at McClellan Street in Newark TODAY Sunday Nov. 3 from 3 PM thru 5 PM for emergency repairs to replace damaged electrical lines and transformers. Follow detour or plan alternate route,"Route 1&9 all local &, Street in",,,,,,,"both, Newark"
329,511nji280,Vehicle fire on I-280 westbound East of Exit 7 - Pleasant Valley Way/CR 636 (West Orange Twp) right lane closed https://511nj.org/event/ORI214765301?820 …,2019-11-03 16:00:56+00:00,Vehicle fire on Interstate 280 westbound East of Exit 7 - Pleasant Valley Way/Country Route 636 (West Orange Township ) right lane closed https://511nj.org/event/ORI214765301?820 …,Interstate 280,,Exit 7 - Pleasant Valley Way/Country Route 636,westbound,,right lane,East of,West Orange Township
330,NJTRANSIT_NBUS,Bus service traveling on Broad St. between Central Ave and Market St is subject to delays and detours until 6 pm due to filming and round closure.,2019-11-03 15:29:15+00:00,Bus service traveling on Broad Street between Central Ave and Market Street is subject to delays and detours until 6 pm due to filming and round closure.,Broad Street between Central Ave and Market Street,,,round,,,,
331,511nji295,"Construction, construction on I-295 southbound from Delaware River/Scudder Falls Bridge (Ewing Twp) to Exit 73 - Scotch Rd (Hopewell Twp) 1 lane closed until 4:00 P.M. https://511nj.org/event/ORI214763001?495 …",2019-11-03 15:01:56+00:00,"Construction, construction on Interstate 295 southbound from Delaware River/Scudder Falls Bridge (Ewing Township ) to Exit 73 - Scotch Road (Hopewell Township ) 1 lane closed until 4:00 P.M. https://511nj.org/event/ORI214763001?495 …",Interstate 295,Delaware River/Scudder Falls Bridge,Exit 73 - Scotch Road,southbound,,1 lane,from,"Ewing Township, Hopewell Township"
332,511nji287,"Construction, curb work on I-287 northbound between North of Exit 22 - US 202 (Bedminster Twp) and Exit 35 - NJ 124 (Morristown) right shoulder closed until 6:00 P.M. https://511nj.org/event/ORI214762701?734 …",2019-11-03 14:31:56+00:00,"Construction, curb work on Interstate 287 northbound between North of Exit 22 - US-202 (Bedminster Township ) and Exit 35 - NJ 124 (Morristown) right shoulder closed until 6:00 P.M. https://511nj.org/event/ORI214762701?734 …",Interstate 287,,"Exit 22 - US-202, Exit 35 - NJ 124",northbound,,right shoulder,between North of,"Bedminster Township, Morristown"
333,511njbt,"Construction, construction on George Washington Bridge upper level westbound ramp from Henry Hudson Parkway (Manhattan) all lanes closed https://511nj.org/event/ORI214751907?386 …",2019-11-03 14:21:56+00:00,"Construction, construction on George Washington Bridge upper level westbound ramp from Henry Hudson Parkway (Manhattan) all lanes closed https://511nj.org/event/ORI214751907?386 …",George Washington Bridge upper level,Henry Hudson Parkway,,westbound,,"ramp, all lanes",,Manhattan
334,511nji295,"Construction, roadwork on US 1 southbound at Washington Rd (West Windsor Twp) right shoulder closed until 4:00 P.M. use caution https://511nj.org/event/ORI214760901?866 …",2019-11-03 14:01:56+00:00,"Construction, roadwork on US-1 southbound at Washington Road (West Windsor Township ) right shoulder closed until 4:00 P.M. use caution https://511nj.org/event/ORI214760901?866 …",US-1,Washington Road,,southbound,,right shoulder,at,West Windsor Township
335,NJTurnpike,One lane of the southbound Western Spur will remain closed today for bridge deck repairs. https://www.njta.com/newsroom/hicc-on-the-southbound-westerly …,2019-11-03 14:00:00+00:00,One lane of the southbound Western Spur will remain closed today for bridge deck repairs. https://www.njta.com/newsroom/hicc-on-the-southbound-westerly …,,,,,,,,
